display_name,unit_price,unit_size,size_format
Whisky escocés Black Label Johnnie Walker,26.95,0.7,l
Whisky escocés Grand Old Parr 12 años,22.00,1.0,l
Ron añejo Negrita,8.95,0.7,l
Ron blanco superior La Recompensa,5.50,0.7,l
Ron dominicano añejo Ron Barceló,15.45,0.7,l
Ron caribeño sabor coco Malibu,12.70,0.7,l
Piña colada Pi.omka,6.00,0.7,l
Ron añejo La Recompensa,6.05,0.7,l
Ron viejo La Recompensa,8.50,0.7,l
Bebida preparada de ron sabor mojito La Recompensa Ice,1.30,0.275,l
Licor crema Royal Swan,5.85,0.7,l
Licor crema de arroz Royal Swan,6.50,0.7,l
Licor crema de fresa Royal Swan,6.00,0.7,l
Licor crema Puente Pazos,6.35,0.7,l
Licor crema de sandía Royal Swan,6.00,0.7,l
Licor de chicle Royal Swan,6.00,0.7,l
Vodka Knebep,6.70,1.0,l
Anís seco Cassalla Cerveró,11.75,1.0,l
Anís seco Tenis,12.30,1.0,l
Licor de anís dulce Dama Mayor,5.50,0.7,l
Licor de anís Ricard Pastis de Marseille,12.70,0.7,l
Anís seco Limiñana,10.20,1.0,l
Licor de hierbas Puente Pazos,6.10,0.7,l
Licor de limoncello Franzini,6.85,0.7,l
Licor de hierbas Jägermeister,13.80,0.7,l
Licor dulce Amaretto Del Patriarca,4.90,0.7,l
Pacharán Oibar,7.25,1.0,l
Tequila reposado Olmeca,12.50,0.7,l
Licor mora sin alcohol Pi.omka,2.80,0.7,l
Sidra asturiana El Mayu,1.60,0.75,l
Sidra asturiana El Mayu,10.80,3.0,l
Sidra asturiana El Mayu,0.90,0.25,l
Sidra natural Polían,2.10,0.7,l
Bebida zumo de manzana El Lagar sin alcohol,2.40,0.75,l
Cava brut Cabré & Sabaté,3.20,0.75,l
Cava brut Cabré & Sabaté,1.75,0.2,l
Cava brut Señorío De Requena,3.55,0.75,l
Cava brut nature Jaume Serra,3.95,0.75,l
Cava brut Anna Codorníu,8.95,0.75,l
Cava brut nature reserva vintage Cabré & Sabaté,4.45,0.75,l
Cava semi seco Cabré & Sabaté,3.20,0.75,l
Cava semi seco Freixenet,7.05,0.75,l
Cava semi seco Señorío De Requena,3.55,0.75,l
Cava semi seco Cabré & Sabaté Ice,4.10,0.75,l
Vino espumoso Viña Secret Brut,2.50,0.75,l
Sangría Casón Histórico,1.60,1.5,l
Tinto de verano limón Sandevid,1.99,1.5,l
Tinto de verano zero limón Casón Histórico,0.90,1.5,l
Sangría Don Simón,1.95,1.5,l
"Tinto de verano 0,0% sin alcohol limón Don Simón",1.40,1.5,l
Tinto de verano limón Don Simón,1.50,1.5,l
Tinto de verano limón Casón Histórico,1.00,1.5,l
Tinto de verano Casón Histórico,1.00,1.5,l
Vino blanco Casón Histórico,0.90,1.0,l
Vino blanco Don Simón chardonnay airén,1.60,0.75,l
Vino blanco Don Simón,1.60,1.0,l
Vino blanco Marina Alta D.O Alicante,4.95,0.75,l
Vino blanco D.O La Mancha Fidencio,1.45,0.75,l
Vino blanco D.O Alicante Bahía de Dénia,4.90,0.75,l
Vino blanco D.O Rioja El Coto,4.25,0.75,l
Vino blanco albariño D.O Rías Baixas Pazo de Orantes,6.00,0.75,l
Vino blanco D.O Valencia Finca La Malcriada dulce,2.65,0.75,l
Vino blanco D.O Somontano Atardecer Chardonnay,3.60,0.75,l
Vino blanco viura y tempranillo D.O Rioja Ponce de Albayda,3.60,0.75,l
Vino blanco Chardonnay Mar de Uvas,2.50,0.75,l
Vino blanco verdejo D.O Rueda Arribeño,2.00,0.75,l
Vino blanco verdejo D.O Rueda Abadía Mantrús,2.30,0.75,l
Vino blanco D.O Rueda Abadía Mantrús Sauvignon Blanc,3.40,0.75,l
Vino blanco verdejo D.O Rueda Condado de Teón,3.90,0.75,l
Vino blanco suave y afrutado El Pescaito,2.05,0.75,l
Vino blanco semidulce Diamante D.O Rioja,4.20,0.75,l
Vino blanco semidulce Finca La Distinguida,2.15,0.75,l
Mistela dulce de moscatel Mig Segle D.O Valencia,3.60,0.75,l
Mistela de moscatel Mig Segle D.O Valencia,3.60,0.75,l
Mosto tinto Casón Histórico,2.00,1.5,l
Vino fino Corredera D.O Montilla-Moriles,3.10,0.75,l
Bebida refrescante aromatizada tinto sin alcohol light Castillo de Salobreña,1.60,1.0,l
Lambrusco dell'Emilia rosado espumoso Piccolo Giovanni,2.00,0.75,l
Vino blanco espumoso verdejo DulZ.Ze frizzante,2.70,0.75,l
Vino tinto dulce de aguja Rosso Dolce Cueva peccato frizzante,2.60,0.75,l
Vino rosado D.O Navarra Hypatia,2.10,0.75,l
Vino rosado D.O La Mancha Fidencio,1.55,0.75,l
Vino rosado Dominio de Borgia,2.55,2.0,l
Vino rosado D.O Rioja Arteso Clarete,3.25,0.75,l
Vino rosado D.O Cigales ValdeSalud,2.70,0.75,l
Vino tinto Casón Histórico,1.00,1.0,l
Vino tinto Don Simón,1.60,1.0,l
Vino tinto tempranillo Elegido,2.20,1.0,l
Vino tinto Dominio de Borgia,2.70,2.0,l
Vino tinto Masía de Altigón,5.45,5.0,l
Vino tinto D.O Rioja El Coto crianza,6.35,0.75,l
Vino tinto D.O Rioja Comportillo cosecha,2.55,0.75,l
Vino tinto D.O Rioja Cune crianza,6.95,0.75,l
Vino tinto D.O Rioja Comportillo crianza,3.00,0.75,l
Vino tinto D.O Rioja Comportillo reserva,4.20,0.75,l
Vino tinto D.O Rioja Coto de Imaz reserva,8.65,0.75,l
Vino tinto D.O La Mancha Fidencio,1.30,0.75,l
Vino tinto D.O Valdepeñas Viña Albali crianza,2.70,0.75,l
Vino tinto D.O Valdepeñas Pata Negra reserva,2.75,0.75,l
Vino tinto D.O Valdepeñas Señorío de los Llanos crianza,1.75,0.75,l
Vino tinto D.O La Mancha Fidencio crianza,1.70,0.75,l
Vino tinto D.O Ribera del Duero Abadía Mantrús crianza,4.50,0.75,l
Vino tinto D.O Ribera del Duero Abadía Mantrús reserva,6.00,0.75,l
Vino tinto D.O Campo de Borja Borsao barrica,2.00,0.75,l
Vino tinto tempranillo El Mandamás The Guv'Nor,2.85,0.75,l
Vino tinto sin sulfitos añadidos Davida D.O. Navarra,3.90,0.75,l
Vino tinto Merlot Mar de Uvas,2.25,0.75,l
Vino tinto Syrah Mar de Uvas,2.25,0.75,l
Vino tinto Caperucita tinta Torre Oria suave,1.85,0.75,l
Vino tinto Bobal Para Pecar,2.90,0.75,l
Vino tinto D.O Utiel-Requena Torre Oria reserva,2.95,0.75,l
Vino tinto D.O Utiel-Requena Torre Oria crianza,2.00,0.75,l
Vino tinto D.O València Arc de Pedra,3.00,0.75,l
Cacao soluble instantáneo Nesquik,6.95,1.0,kg
Cacao soluble instantáneo Nesquik,3.95,0.39,kg
Cacao soluble cero ColaCao,4.39,0.325,kg
Cacao soluble ColaCao original,5.99,0.76,kg
Cacao soluble ColaCao original,4.39,0.383,kg
Cacao soluble instantáneo Hacendado,4.05,1.0,kg
Cacao soluble instantáneo Hacendado,2.70,0.5,kg
Cacao soluble Hacendado,4.20,1.0,kg
Cacao soluble Hacendado,2.60,0.5,kg
Cacao soluble ColaCao original,16.99,2.5,kg
Cacao soluble 0% azúcares añadidos Hacendado,4.05,0.45,kg
Cacao soluble instantáneo Nesquik,13.89,2.7,kg
Cacao puro en polvo La Chocolatera,4.15,0.265,kg
Chocolate líquido a la taza Hacendado,2.35,1.0,l
Cacao en polvo a la taza Hacendado,1.70,0.4,kg
Café en cápsula extra fuerte Hacendado,3.90,0.104,kg
Café en cápsula descafeinado Hacendado,3.95,0.104,kg
Café en cápsula Colombia Hacendado,3.90,0.108,kg
Café en cápsula espresso Hacendado,3.90,0.104,kg
Café en cápsula ristretto Hacendado,3.90,0.106,kg
Café en cápsulas doble espresso Hacendado,3.90,0.11,kg
Café en cápsula descafeinado espresso Hacendado,3.95,0.104,kg
Café en cápsula espresso intenso Dolce Gusto,5.20,0.112,kg
Café en cápsula extra forte Hacendado,3.55,0.112,kg
Café en cápsula forte Hacendado,3.55,0.112,kg
Café en cápsula classic Hacendado,3.55,0.112,kg
Café en cápsula descafeinado espresso intenso Dolce Gusto,5.20,0.0992,kg
Café con leche en cápsula Dolce Gusto,5.20,0.16,kg
Café con leche en cápsula Hacendado,3.55,0.1536,kg
Café en cápsula ristretto napoli Dolce Gusto,5.20,0.128,kg
Café en cápsula cortado Dolce Gusto,5.20,0.1008,kg
Café en cápsula descafeinado Hacendado,3.55,0.112,kg
Café cortado en cápsula Hacendado,3.55,0.0928,kg
Café con leche en cápsula descafeinado Hacendado,3.55,0.152,kg
Cortado en cápsula descafeinado Hacendado,3.55,0.0912,kg
Café en cápsula doble espresso Hacendado,3.55,0.128,kg
Café en cápsula cappuccino Hacendado,3.55,0.1856,kg
Café en cápsula espresso Tassimo,5.89,0.1184,kg
Café en cápsula largo Tassimo,5.89,0.1328,kg
Café en cápsula cortado Tassimo,5.89,0.184,kg
Café en cápsula descafeinado Tassimo,5.89,0.1184,kg
Café con leche en cápsula Tassimo,5.89,0.184,kg
Café monodosis natural Hacendado,3.00,0.224,kg
Café monodosis mezcla Hacendado,3.40,0.224,kg
Café monodosis descafeinado natural Hacendado,3.30,0.224,kg
Café molido natural Hacendado,5.40,0.5,kg
Café molido natural Hacendado,2.75,0.25,kg
Café molido mezcla fuerte Hacendado,5.60,0.5,kg
Café molido mezcla fuerte Hacendado,2.85,0.25,kg
Café molido natural fuerte Hacendado,5.40,0.5,kg
Café molido natural fuerte Hacendado,2.75,0.25,kg
Café molido descafeinado natural Hacendado,5.60,0.5,kg
Café molido descafeinado natural Hacendado,2.85,0.25,kg
Café molido natural Bonka,3.95,0.25,kg
Café molido natural Cafés Valiente,4.90,0.25,kg
Café molido natural Hacendado Espresso,3.60,0.25,kg
Café molido mezcla Hacendado Espresso,3.60,0.25,kg
Café molido Colombia Hacendado,3.60,0.25,kg
Café molido descafeinado Hacendado Espresso,3.80,0.25,kg
Café molido mezcla Marcilla crème express,4.45,0.25,kg
Café molido descafeinado Climent,3.60,0.25,kg
Café molido natural Climent,3.10,0.25,kg
Café en grano natural Hacendado,11.50,1.0,kg
Café en grano Hacendado descafeinado natural,13.00,1.0,kg
Café en grano extra fuerte Hacendado,11.50,1.0,kg
Café soluble Classic Hacendado,4.70,0.2,kg
Café soluble Classic Hacendado,2.95,0.1,kg
Café soluble Classic Hacendado en sobres,1.10,0.02,kg
Café soluble natural Nescafé classic,7.85,0.2,kg
Café soluble natural Nescafé classic,3.99,0.1,kg
Café soluble descafeinado Hacendado,4.95,0.2,kg
Café soluble descafeinado Hacendado,3.15,0.1,kg
Café soluble en sobres descafeinado Hacendado,1.20,0.02,kg
Café soluble descafeinado Nescafé classic,7.85,0.2,kg
Café soluble descafeinado Nescafé classic,3.99,0.1,kg
Café soluble Espresso Creme Hacendado,2.90,0.08,kg
Café soluble cappuccino Hacendado,2.75,0.25,kg
Café soluble cappuccino caramelo Hacendado,3.00,0.25,kg
Café con leche cappuccino Hacendado,0.75,0.25,l
Café con leche light sin lactosa Hacendado,0.75,0.25,l
Café con leche espresso Hacendado,0.75,0.25,l
Café con leche descafeinado Hacendado,0.75,0.25,l
Crema de leche para café Campina,1.40,0.2,l
Cereales solubles con achicoria Hacendado,2.15,0.15,kg
Filtros de café para cafeteras tamaño 2 y 4 Bosque Verde,2.20,1.0,ud
Té verde Hacendado,0.75,0.03,kg
Té rojo Hacendado,1.15,0.04,kg
Té Chai Hacendado,1.40,0.04,kg
Té negro PG tips,2.60,0.116,kg
Té negro con canela Hacendado,1.40,0.03,kg
Té Matcha en polvo Hacendado,3.20,0.015,kg
Té negro Hacendado,0.85,0.035,kg
Té verde con hierbabuena Hacendado,1.35,0.04,kg
Infusión Manzanilla Hacendado,0.55,0.027,kg
Infusión Menta Poleo Hacendado,0.70,0.03,kg
Infusión Tila Hacendado,0.85,0.024,kg
Infusión Cola de caballo Hacendado,1.20,0.03,kg
Infusión Manzanilla con anís Hacendado,0.85,0.026,kg
Infusión Relax Hacendado,1.05,0.03,kg
Infusión Laxsen sabor menta Hacendado,1.05,0.03,kg
Infusión Tomillo Hacendado,1.05,0.024,kg
Infusión Dormir Hacendado,1.05,0.03,kg
Infusión Rooibos cítricos Hacendado,1.15,0.04,kg
Infusión Digest Hacendado,1.05,0.04,kg
Infusión frutos rojos Hacendado,1.40,0.04,kg
Infusión Jengibre Hacendado,1.35,0.04,kg
Infusión Manzanilla sabor a miel Hacendado,1.15,0.026,kg
Infusión Cúrcuma Hacendado con manzana y canela,1.35,0.034,kg
Infusión quema grasas Hacendado,1.05,0.03,kg
Infusión Hinojo Hacendado,1.05,0.04,kg
Infusión manzana y canela Hacendado,1.40,0.04,kg
Infusión Yerba Mate Amanda,2.85,0.5,kg
Infusión fría Hacendado con sabor a piña y coco,1.45,0.04,kg
"Arreglo para puchero vacuno, cerdo y pollo",6.55,1.11,kg
Arreglo para arroz al horno,5.78,0.76,kg
Pelota para cocido de cerdo,2.03,0.28,kg
Hueso vacuno,1.55,0.25,kg
Trozo de vacuno para cocido,4.53,0.3,kg
Compango,2.60,0.25,kg
Hueso garrón,1.16,0.29,kg
Osobuco de cerdo,1.97,0.24,kg
Espinazo de cerdo,1.80,0.3,kg
Arreglo para paella con pollo y conejo,6.58,0.94,kg
Manos de cerdo,3.25,0.5,kg
Costilla de vacuno,3.70,0.25,kg
Chorizo asturiano,2.80,0.25,kg
Hueso blanco de cerdo salado,1.75,0.35,kg
Filetes pechuga de pavo,5.16,0.59,kg
Filetes pechuga de pavo corte fino,5.13,0.5,kg
Chuletas de pavo contramuslo,4.72,0.66,kg
Tacos de pavo,4.94,0.65,kg
Solomillo de pavo,4.80,0.6,kg
Filetes de pavo contramuslo,4.92,0.6,kg
Foie gras de pato fresco,10.50,0.135,kg
Codornices,4.20,0.35,kg
Magret de pato,9.12,0.38,kg
Filetes pechuga de pollo corte fino,4.84,0.59,kg
Filetes pechuga de pollo,4.48,0.56,kg
Contramuslos de pollo deshuesados y sin piel,3.58,0.55,kg
Solomillos de pollo,3.68,0.46,kg
Pechugas enteras familiar de pollo,7.07,1.14,kg
Pechugas enteras de pollo,3.33,0.5,kg
Cuartos traseros familiar de pollo,5.10,1.73,kg
Cuartos traseros de pollo,2.77,0.88,kg
"Brochetas de pollo, pimiento verde y tocino de cerdo con varilla",3.11,0.37,kg
Muslos de pollo deshuesados con piel,2.78,0.5,kg
Medio pollo troceado,3.60,0.9,kg
Jamoncitos de pollo,3.22,0.92,kg
Alas partidas de pollo,3.12,0.6,kg
Carcasa y espinazo de pollo,1.24,0.95,kg
Filetes pechuga de pollo marinadas empanadas sin gluten,4.09,0.47,kg
Filetes pechuga de pollo finas hierbas marinadas,4.84,0.59,kg
Filetes pechuga de pollo certificado alimentado con un 50% de maíz,4.50,0.5,kg
Flautas de pollo y queso,2.20,0.28,kg
Pollo entero,6.17,1.9,kg
Hígados y corazones de pollo,1.20,0.3,kg
Cuartos traseros de pollo certificado alimentado con un 50% de maíz,3.82,0.83,kg
Alas de pollo,4.05,0.91,kg
Alas de pollo adobadas,3.53,0.63,kg
Contramuslos de pollo sin piel,3.40,0.81,kg
Jamoncitos de pollo certificado alimentado con un 50% de maíz,4.50,0.85,kg
Pollo certificado entero alimentado con un 50% de maíz,8.42,1.85,kg
Alas partidas de pollo certificado alimentado con un 50% de maíz,4.16,0.64,kg
Mollejas de pollo,2.03,0.38,kg
Sangre hervida de pollo,2.20,0.5,kg
Patas de pollo,1.89,0.45,kg
Filetes pechuga de pollo extra tiernos,4.23,0.56,kg
Solomillos de pollo certificado alimentado con un 50% de maíz,3.39,0.32,kg
Lagrimitas de pollo al limón empanadas sin gluten,3.44,0.41,kg
Filetes solomillos de pollo marinados empanados sin gluten,4.84,0.55,kg
Alas de pollo adobadas picantes,3.33,0.52,kg
Pinchos de pollo sin varilla adobados,4.30,0.5,kg
Pincho Mexicano de pollo con varilla,4.84,0.47,kg
Pollo adobado y verduras,3.36,0.46,kg
Contramuslos deshuesados y sin piel de pollo certificado alimentado con un 50% de maíz,4.25,0.5,kg
Empanados de pollo picantes sin gluten,3.10,0.36,kg
Jamoncitos de pollo congelados,3.30,1.0,kg
Alas de pollo congeladas,3.60,1.0,kg
Medallones preparado de solomillo cerdo congelados marinados,3.11,0.3,kg
Solomillo de pavo marinado congelado,3.12,0.4,kg
Cuartos traseros de pollo congelados,5.60,2.0,kg
Solomillo de cerdo marinado congelado,6.24,0.8,kg
Jamoncitos de pavo duplo congelados,3.78,0.87,kg
Pierna de lechal entera congelada,10.73,0.72,kg
Chuletas cordero de lechal congeladas,13.75,0.55,kg
Carrillada de cerdo congelada,5.75,0.46,kg
Carrillada de vacuno congelado,9.28,0.53,kg
Alas de pollo barbacoa congeladas,3.68,0.75,kg
Costillas de cerdo carnosas a tacos,4.96,0.62,kg
Filetes lomo de cerdo,3.52,0.51,kg
Filetes lomo de cerdo familiar,6.12,0.9,kg
Carrillada de cerdo,6.55,0.5,kg
Costilla de cerdo ibérico adobada,3.78,0.5,kg
Chuletas de cerdo sajonia,3.67,0.39,kg
Costilla de cerdo churrasco,4.67,0.82,kg
Panceta de cerdo,4.13,0.59,kg
Manos de cerdo,3.25,0.5,kg
Cerdo a tacos,3.22,0.56,kg
Filetes lomo de cerdo adobado,3.29,0.47,kg
Filetes lomo de cerdo adobado familiar,6.55,0.97,kg
San Jacobos de cerdo sin gluten,2.76,0.4,kg
Filetes lomo de cerdo cabeza,4.49,0.67,kg
Flautas de bacón y queso,2.20,0.28,kg
Secreto de cerdo,3.04,0.49,kg
Media careta de cerdo sin oreja,3.16,0.51,kg
Manteca de cerdo Mont-Palau para cocinar,2.95,0.4,kg
Fiambre de magro de cerdo adobado,2.80,0.37,kg
Filetes hígado de cerdo,2.86,0.51,kg
Filetes lomo de cerdo grueso,4.48,0.56,kg
Figatells de cerdo,3.84,0.46,kg
Presa de cerdo ibérico,8.91,0.33,kg
Secreto de cerdo ibérico,6.25,0.25,kg
Medallones preparado de solomillo cerdo provenzal,4.44,0.4,kg
Pinchos de cerdo sin varilla,4.70,0.58,kg
Chuletas lomo de cerdo,3.55,0.55,kg
Chuletas aguja de cerdo,4.20,0.75,kg
Filetes lomo de cerdo ibérico,6.26,0.285,kg
Solomillo de cerdo,4.51,0.55,kg
Panceta fina sin corteza,3.90,0.5,kg
Codillo de cerdo,4.75,0.95,kg
Filetes lomo de cerdo extra tiernos,3.94,0.52,kg
Lomo de cerdo trozo,5.04,0.97,kg
Pieza cabeza lomo de cerdo,6.21,1.15,kg
Medio conejo troceado,5.40,0.6,kg
Conejo entero,9.98,1.21,kg
Paletillas de conejo,7.96,0.4,kg
Chuletas de cordero palo y riñonada,12.47,0.43,kg
Filetes hígado de cordero,4.42,0.34,kg
Garretas brazuelo de cordero,10.17,0.6,kg
Cordero chuleteado,15.36,0.64,kg
Burger de cordero al romero,3.70,0.24,kg
Longaniza magro fresca,3.37,0.535,kg
Longaniza fresca sin tripa,3.30,0.56,kg
Longaniza fresca de pollo,4.13,0.55,kg
Morcilla de cebolla oreada,1.90,0.28,kg
Botifarrón de carne,2.62,0.35,kg
Chorizo oreado,2.57,0.36,kg
Chistorra,1.55,0.22,kg
Longaniza roja fresca,2.03,0.27,kg
Longaniza fresca estilo criollo,3.34,0.38,kg
Butifarra fresca,3.78,0.64,kg
Embutido surtido oreado,3.88,0.5,kg
Morcilla de arroz y cebolla,1.63,0.3,kg
Embutido blanco,2.55,0.35,kg
Chorizo aperitivo,2.59,0.3,kg
Chorizo picante aperitivo,2.60,0.3,kg
Burger de cerdo,2.80,0.54,kg
Burger de vacuno y cerdo,4.50,0.54,kg
Burger de vacuno,5.90,0.54,kg
Burger de pollo,3.80,0.54,kg
Burger de pollo gruesa,3.20,0.36,kg
Burger de vacuno gruesas,4.80,0.36,kg
Burger de vacuno y cerdo con jamón y cebolla caramelizada,2.80,0.24,kg
Burger de pavo y espinacas,2.40,0.24,kg
Mini burgers de pollo,2.70,0.28,kg
Mini burgers de vacuno y cerdo,3.10,0.28,kg
Burger americana gruesas,3.10,0.36,kg
Burger Crunchy Chicken,2.00,0.24,kg
Hamburguesa de lomo de vacuno,4.30,0.24,kg
Burger de vaca madurada,3.10,0.18,kg
Burger de cordero al romero,3.70,0.24,kg
Preparado de carne picada vacuno y cerdo,4.30,0.5,kg
Preparado de carne picada vacuno y cerdo,8.40,1.0,kg
Preparado de carne picada cerdo,2.75,0.5,kg
Preparado de carne picada vacuno,5.30,0.5,kg
Preparado de carne picada vacuno,10.40,1.0,kg
Albóndigas de cerdo,4.55,0.84,kg
Albóndigas de pollo,6.00,0.84,kg
Preparado de carne picada vacuno,5.35,0.4,kg
Preparado de carne picada pollo,3.55,0.5,kg
Preparado de carne picada cerdo sabor chorizo,3.50,0.5,kg
Filetes de vacuno 1º B añojo para plancha o guisar,9.74,0.55,kg
Filetes lomo de vacuno añojo para plancha,9.55,0.44,kg
Solomillo de vacuno añojo para plancha,12.06,0.3,kg
Carpaccio de vacuno,4.10,0.11,kg
Filetes de vacuno añojo para plancha,9.10,0.5,kg
Entrecot de vacuno añojo fino para barbacoa o plancha,12.60,0.5,kg
Entrecot de vacuno añojo grueso para barbacoa o plancha,9.58,0.38,kg
Filetes hígado de vacuno,4.27,0.44,kg
Tacos de vacuno marinado para guisar,9.42,0.6,kg
Filetes de vacuno marinado extra tiernos,9.74,0.55,kg
Steak Tartar de vacuno marinado,5.70,0.2,kg
Nuggets de pollo Hacendado ultracongelados,2.70,0.5,kg
Delicias de pollo Hacendado ultracongeladas,3.70,0.5,kg
Croquetas de cocido Hacendado ultracongeladas,2.00,0.35,kg
Nuggets de pavo Hacendado ultracongelados,3.40,0.4,kg
Pollo marinado rebozado Crispy American Style Hacendado ultracongelado,4.90,0.5,kg
"Brochetas de pollo, pimiento verde y tocino de cerdo con varilla",3.11,0.37,kg
Flautas de pollo y queso,2.20,0.28,kg
Flautas de bacón y queso,2.20,0.28,kg
Filetes lomo de cerdo adobado,3.29,0.47,kg
Filetes lomo de cerdo adobado familiar,6.55,0.97,kg
San Jacobos de cerdo sin gluten,2.76,0.4,kg
Filetes pechuga de pollo finas hierbas marinadas,4.84,0.59,kg
Filetes pechuga de pollo marinadas empanadas sin gluten,4.09,0.47,kg
Pinchos de cerdo sin varilla,4.70,0.58,kg
Medallones preparado de solomillo cerdo provenzal,4.44,0.4,kg
Alas de pollo adobadas,3.53,0.63,kg
Fiambre de magro de cerdo adobado,2.80,0.37,kg
Costilla de cerdo ibérico adobada,3.78,0.5,kg
Chuletas de cerdo sajonia,3.67,0.39,kg
Callos preparados de ternera Rogusa,3.75,0.5,kg
Oreja de cerdo cocida adobada Rogusa,4.25,0.5,kg
Pinchos de pollo sin varilla adobados,4.30,0.5,kg
Lagrimitas de pollo al limón empanadas sin gluten,3.44,0.41,kg
Filetes solomillos de pollo marinados empanados sin gluten,4.84,0.55,kg
Empanados de pollo picantes sin gluten,3.10,0.36,kg
Filetes pechuga de pavo adobado,4.13,0.475,kg
Cereales rellenos de leche Hacendado,2.40,0.5,kg
Mini cereales rellenos de leche Hacendado,1.95,0.175,kg
Cereales rellenos de chocolate y avellana Hacendado,2.10,0.5,kg
Cereales estrellas de maíz Stars Hacendado con miel,2.10,0.4,kg
Cereales copos de maíz Corn Flakes Hacendado 0% azúcares añadidos,1.50,0.5,kg
Cereales copos de maíz Corn Flakes Kellogg's,2.65,0.5,kg
Cereales de arroz inflado Choco Krispies Kellogg's con chocolate,3.55,0.42,kg
Cereales copos de trigo Chocodays Hacendado con chocolate,2.00,0.5,kg
Cereales rellenos de crema de cacao y avellana Hacendado sin gluten,2.25,0.4,kg
Cereales copos de maíz Choco Corn Flakes Hacendado con chocolate,2.20,0.4,kg
Copos de avena sin gluten Hacendado,2.10,0.5,kg
Copos de avena Brüggen,1.35,0.8,kg
Cereales copos de trigo integral y arroz Special K Classic,2.50,0.45,kg
Muesli Crunchy Hacendado con chocolate,2.45,0.5,kg
Cereales copos de trigo integral y arroz Hacendado 0% azúcares añadidos,2.00,0.5,kg
Cereales copos de trigo espelta integral Hacendado 0% azúcares añadidos,1.70,0.4,kg
Muesli Crunchy Hacendado con frutos secos,2.10,0.5,kg
Muesli Crunchy Hacendado 0% azúcares añadidos y 0% edulcorantes,2.00,0.5,kg
Cereales copos de trigo integral y arroz Hacendado bañados en chocolate con leche,2.65,0.375,kg
Cereales copos tostados de trigo integral y arroz Hacendado con chocolate,2.40,0.425,kg
Muesli Crunchy Hacendado con fruta,2.10,0.5,kg
Avena molida Hacendado,1.15,0.5,kg
Cereales y semillas granola Hacendado con frutos secos,2.40,0.4,kg
Cereales con salvado de trigo Fibra Sticks Hacendado,1.80,0.5,kg
Muesli Hacendado con frutas,2.40,1.0,kg
Muesli Hacendado 50% frutas y frutos secos,2.10,0.5,kg
Salvado de trigo integral Hacendado,1.35,0.25,kg
"Muesli Hacendado con quinoa, chía y chocolate negro",2.60,0.4,kg
Cereales Cereal Mix Hacendado 0% azúcares añadidos,2.40,0.375,kg
Cereales avena Crunchy Hacendado,1.90,0.4,kg
Cereales avena Crunchy Hacendado de cacao,2.15,0.4,kg
Barritas de cereales Hacendado chocolate con leche,1.55,0.12,kg
Barritas de cereales Hacendado con chocolate blanco,1.55,0.127,kg
Barritas de cereales muesli Hacendado con chocolate,1.55,0.138,kg
Barritas de cereales con frutos secos Hacendado,1.65,0.15,kg
Barritas con proteínas Enervit Sport sabor coco y chocolate,3.50,0.12,kg
Barrita con proteínas Enervit Sport sabor chocolate negro,5.25,0.18,kg
Barritas de espelta Hacendado sabor manzana,1.55,0.12,kg
Barritas de avena Hacendado con chocolate negro,2.45,0.252,kg
Barritas de galleta rellenas de arándanos Hacendado,1.55,0.125,kg
Barritas de cereales Hacendado sabor mango,1.65,0.12,kg
Barritas de cereales con galleta animada Hacendado,1.55,0.12,kg
Galletas María dorada Hacendado,1.40,0.8,kg
Galletas Divertidas con cereales Hacendado,2.00,0.411,kg
Galletas tostadas Tosta Rica,2.95,0.57,kg
Galletas tostadas Animadas Hacendado,1.90,0.8,kg
Galletas tostadas Hacendado,1.40,0.8,kg
Galletas Relieve Hacendado,1.40,0.645,kg
Galletas María dorada Hacendado 0% azúcares añadidos,1.50,0.4,kg
Galletas María sin gluten y sin lactosa Hacendado,1.55,0.205,kg
Galletas tradicionales Hacendado,2.15,0.6,kg
Galletas María Hacendado,1.40,0.8,kg
Galletas canela Hacendado,1.50,0.5,kg
Galletas Digestive Hacendado,1.60,0.8,kg
Galletas Digestive avena Hacendado,1.05,0.425,kg
Galletas Digestive 0% azúcares añadidos Hacendado,1.40,0.4,kg
Galletas de espelta Hacendado 0% azúcares añadidos,1.25,0.2,kg
Galletas María Integral Hacendado,1.40,0.8,kg
Galletas Digestive avena Hacendado,1.85,0.384,kg
Galletas Digestive fibra 20% y cereales Hacendado,1.20,0.285,kg
Galletas Cookies Hacendado,1.60,0.225,kg
Galletas rebuenas Hacendado rellenas de chocolate,1.30,0.5,kg
Galletas mini Oreo,1.40,0.16,kg
Galletas Chocominis sabor chocolate Hacendado,1.95,0.5,kg
Galletas Digestive chocolate con leche Hacendado,1.50,0.3,kg
Galletas Roditas bañadas con chocolate blanco Hacendado,2.30,0.3,kg
Galletas mini caritas Hacendado con crema de cacao,1.40,0.329,kg
Galletas Caocream Hacendado rellenas de crema,1.70,0.44,kg
Galletas Choco negro con chocolatina Hacendado,1.50,0.15,kg
Barritas de galleta bañadas en chocolate con leche Chips Ahoy,1.50,0.14,kg
Galletas mini cookies Hacendado,1.40,0.16,kg
Galletas con chocolate y crema de leche Hacendado,2.65,0.268,kg
Galletas Caocream chocolate blanco Hacendado rellenas de crema,2.15,0.252,kg
